outcome,is_primary,beta_G,se_G,p_G,n_G,exposure,beta_H,se_H,p_H,n_H,beta_FE,se_FE,p_FE,beta_RE,se_RE,p_RE,ci_lo_RE,ci_hi_RE,Q,I2,tau2,p_het,k,dir_concordant,base_exposure,detection_rate_G,detection_class_G,detection_rate_H,detection_class_H,strict_continuous_meta,h_near_threshold_low,fdr_RE,fdr_FE,fdr_tier_RE,fdr_tier_FE,fdr_strict_outcome_RE,fdr_strict_outcome_FE,fdr_strict_tier_RE,fdr_strict_tier_FE
L5,FALSE,0.3066358332899449,1.4368490529990554,0.8394372419611875,1327,BPA_cr,2.79216153693754,2.473264360347918,0.34104377174559286,1403,0.9338325915144794,1.242405348973087,0.45227192220175816,0.9338325915144794,1.242405348973087,0.45227192220175816,-1.5012818924727713,3.36894707550173,0.7550918303440368,0,0,0.38486889995773965,2,TRUE,BPA,0.9013107170393216,high,0.9527156549520767,high,TRUE,FALSE,0.9004594338882925,0.7236350755228131,0.9394583828875946,0.7365948897877197,0.8672939645370237,0.6784078833026372,0.9183112565686133,0.6871569158455476
L5,FALSE,-0.2682563439371382,1.2273929913712172,0.8356352375802294,1213,PFOS,-1.1210913826616056,2.001716269062844,0.6145348889457471,1262,-0.5012884916709888,1.0463522688569336,0.631880325771881,-0.5012884916709888,1.0463522688569336,0.631880325771881,-2.552138938630579,1.549561955288601,0.13192089673519847,0,0,0.7164486426087143,2,TRUE,PFOS,0.9967845659163987,high,0.9891225525743292,high,TRUE,FALSE,0.9004594338882925,0.8425071010291747,0.9394583828875946,0.8425071010291747,0.8672939645370237,0.7582563909262572,0.9183112565686133,0.7582563909262572
L5,FALSE,-0.3922955297009786,1.388562020770592,0.7888672561301286,1213,PFNA,3.1294482629807434,2.8071766053408704,0.34620030620581665,1364,0.30000169455184467,1.24462107949168,0.8095252172792526,0.5235211385430396,1.5448467551149698,0.7346984393421525,-2.504378501482301,3.5514207785683807,1.2645027645052092,20.917531533330195,1.297167181096316,0.26080049646666514,2,FALSE,PFNA,0.9935691318327974,high,0.9865814696485623,high,TRUE,FALSE,0.9004594338882925,0.9004594338882925,0.9394583828875946,0.8831184188500937,0.8672939645370237,0.8095252172792526,0.9183112565686133,0.857144347707444
L5,FALSE,3.0303250961486117,1.6611366505042673,0.12770923830284994,1213,PFOA,-2.468789714099755,2.17115408142293,0.33810588652885004,1262,0.999876673634318,1.3192898855006885,0.4485168090171294,0.4584812995845156,2.7438082654234037,0.8672939645370237,-4.919382900645356,5.836345499814387,4.04644860028685,75.28697139686612,11.383489339682475,0.04426437355348445,2,FALSE,PFOA,0.9958658704639411,high,0.990572878897752,high,TRUE,FALSE,0.9004594338882925,0.7236350755228131,0.9394583828875946,0.7365948897877197,0.8672939645370237,0.6784078833026372,0.9183112565686133,0.6871569158455476
M10,FALSE,2.2112163829670903,10.612698392535696,0.8431728299248948,1213,PFNA,25.268841223161893,12.829837450501206,0.14351153274223483,1364,11.578627282367517,8.177558415436076,0.15680398564553877,12.61295343872019,11.473587797235888,0.2716357740429298,-9.87527864386215,35.101185521302526,1.9177080691089508,47.854419757192616,127.20998354697768,0.1661095417053433,2,TRUE,PFNA,0.9935691318327974,high,0.9865814696485623,high,TRUE,FALSE,0.7737291975106515,0.49969483605328985,0.9394583828875946,0.7365948897877197,0.7737291975106515,0.5621566905599511,0.9183112565686133,0.6871569158455476
M10,FALSE,-1.1091907034207706,9.815787510125052,0.914426796648924,1213,PFDA,16.80643315907817,8.920159409479707,0.15606197870679075,1364,8.703083178137238,6.601482533539751,0.1873855635199837,8.31693984966923,8.945561595789991,0.3525118894169501,-9.216360878079152,25.850240577417615,1.824531228227559,45.19140124713294,72.5253250240426,0.17677485761011869,2,FALSE,PFDA,0.8695452457510335,high,0.8178913738019169,high,TRUE,FALSE,0.7737291975106515,0.49969483605328985,0.9394583828875946,0.7365948897877197,0.7737291975106515,0.5621566905599511,0.9183112565686133,0.6871569158455476
M10,FALSE,4.314266546648868,8.579414725317177,0.6364230287461535,1213,PFHxS,4.23341264191044,9.236905326643956,0.6778874957414485,1364,4.276819355620903,6.286162683537679,0.49627999477733997,4.276819355620903,6.286162683537679,0.49627999477733997,-8.044059504112948,16.597698215354754,4.113437668032424e-5,0,0,0.9948827157142909,2,TRUE,PFHxS,0.9862195682131374,high,0.987220447284345,high,TRUE,FALSE,0.7737291975106515,0.6617066597031199,0.9394583828875946,0.74441999216601,0.7737291975106515,0.595535993732808,0.9183112565686133,0.6871569158455476
M10,FALSE,-4.8745438981839,9.460662763471545,0.6283455062714264,1213,PFOA,20.13269693249252,11.249331098553585,0.17144398898799684,1262,5.485257580264867,7.240516170067162,0.4487035040245275,6.888424829677725,12.481664895706041,0.5810281780722704,-17.575638365906116,31.352488025261565,2.894503547535918,65.45176111975067,204.6552519372139,0.08888215296342017,2,FALSE,PFOA,0.9958658704639411,high,0.990572878897752,high,TRUE,FALSE,0.7737291975106515,0.6617066597031199,0.9394583828875946,0.7365948897877197,0.7737291975106515,0.595535993732808,0.9183112565686133,0.6871569158455476
M10,FALSE,-7.754815285406036,9.0865319053663,0.43238900566300315,1213,PFOS,13.862689222385578,7.423275090672164,0.15865177624205443,1262,5.209880198504478,5.748756796183624,0.3647971598390092,3.6890715416211988,10.790075502984715,0.7324300048120325,-17.45947644422884,24.83761952747124,3.394466812576706,70.54029232824021,164.82321300267864,0.06541550937758,2,FALSE,PFOS,0.9967845659163987,high,0.9891225525743292,high,TRUE,FALSE,0.7737291975106515,0.6617066597031199,0.9394583828875946,0.7365948897877197,0.7737291975106515,0.595535993732808,0.9183112565686133,0.6871569158455476
M10,FALSE,-0.4869976143721153,6.0338469171943165,0.938802864643556,1327,BPA_cr,2.788661843685149,5.834417184234386,0.665341075370095,1403,1.205859495319139,4.194288095642415,0.7737291975106515,1.205859495319139,4.194288095642415,0.7737291975106515,-7.014945172139994,9.426664162778271,0.1523107203654381,0,0,0.6963368595301005,2,FALSE,BPA,0.9013107170393216,high,0.9527156549520767,high,TRUE,FALSE,0.7737291975106515,0.7737291975106515,0.9394583828875946,0.8831184188500937,0.7737291975106515,0.7737291975106515,0.9183112565686133,0.857144347707444
