system,complex,target,structure,replicate,method,window_start_ns,window_end_ns,dt_ps,component,delta_total_kcal_mol,sd_prop,sd,sem_prop,sem,analysis_layer,source_file
BPA,BPA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep3,GB,20,40,100,TOTAL,-36.83,0.87,3.12,0.06,0.22,window_gb,output\md\csnk1d_p48730_5okt\mmpbsa_gb_windows\mmpbsa_BPA_CSNK1D_5OKT_rep3_gb_w20_40_dt100ps\FINAL_RESULTS_MMPBSA.dat
BPA,BPA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep3,GB,40,60,100,TOTAL,-22.73,5.27,16.83,0.37,1.19,window_gb,output\md\csnk1d_p48730_5okt\mmpbsa_gb_windows\mmpbsa_BPA_CSNK1D_5OKT_rep3_gb_w40_60_dt100ps\FINAL_RESULTS_MMPBSA.dat
BPA,BPA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep3,GB,60,80,100,TOTAL,-30.84,1.11,3.74,0.08,0.26,window_gb,output\md\csnk1d_p48730_5okt\mmpbsa_gb_windows\mmpbsa_BPA_CSNK1D_5OKT_rep3_gb_w60_80_dt100ps\FINAL_RESULTS_MMPBSA.dat
BPA,BPA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep3,GB,80,100,100,TOTAL,-27.88,0.96,2.88,0.07,0.2,window_gb,output\md\csnk1d_p48730_5okt\mmpbsa_gb_windows\mmpbsa_BPA_CSNK1D_5OKT_rep3_gb_w80_100_dt100ps\FINAL_RESULTS_MMPBSA.dat
PFOA,PFOA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep1,GB,0,20,100,TOTAL,-21.75,3.4,3.23,0.24,0.23,window_gb,output\md\csnk1d_p48730_5okt\mmpbsa_gb_windows\mmpbsa_PFOA_CSNK1D_5OKT_rep1_gb_w00_20_dt100ps\FINAL_RESULTS_MMPBSA.dat
PFOA,PFOA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep1,GB,20,40,100,TOTAL,-18.88,3.9,7.31,0.28,0.52,window_gb,output\md\csnk1d_p48730_5okt\mmpbsa_gb_windows\mmpbsa_PFOA_CSNK1D_5OKT_rep1_gb_w20_40_dt100ps\FINAL_RESULTS_MMPBSA.dat
PFOA,PFOA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep1,GB,40,60,100,TOTAL,-14.17,44.62,11.44,3.15,0.81,window_gb,output\md\csnk1d_p48730_5okt\mmpbsa_gb_windows\mmpbsa_PFOA_CSNK1D_5OKT_rep1_gb_w40_60_dt100ps\FINAL_RESULTS_MMPBSA.dat
PFOA,PFOA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep1,GB,60,80,100,TOTAL,-16.83,45.98,12.1,3.24,0.85,window_gb,output\md\csnk1d_p48730_5okt\mmpbsa_gb_windows\mmpbsa_PFOA_CSNK1D_5OKT_rep1_gb_w60_80_dt100ps\FINAL_RESULTS_MMPBSA.dat
PFOA,PFOA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep1,GB,80,100,100,TOTAL,-10.03,36.53,10.97,2.58,0.77,window_gb,output\md\csnk1d_p48730_5okt\mmpbsa_gb_windows\mmpbsa_PFOA_CSNK1D_5OKT_rep1_gb_w80_100_dt100ps\FINAL_RESULTS_MMPBSA.dat
PFOA,PFOA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep2,GB,0,20,100,TOTAL,-19.4,5.79,3.84,0.41,0.27,window_gb,output\md\csnk1d_p48730_5okt\mmpbsa_gb_windows\mmpbsa_PFOA_CSNK1D_5OKT_rep2_gb_w00_20_dt100ps\FINAL_RESULTS_MMPBSA.dat
PFOA,PFOA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep2,GB,20,40,100,TOTAL,-17.75,5.59,3.88,0.39,0.27,window_gb,output\md\csnk1d_p48730_5okt\mmpbsa_gb_windows\mmpbsa_PFOA_CSNK1D_5OKT_rep2_gb_w20_40_dt100ps\FINAL_RESULTS_MMPBSA.dat
PFOA,PFOA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep2,GB,40,60,100,TOTAL,-19.9,3.27,3.59,0.23,0.25,window_gb,output\md\csnk1d_p48730_5okt\mmpbsa_gb_windows\mmpbsa_PFOA_CSNK1D_5OKT_rep2_gb_w40_60_dt100ps\FINAL_RESULTS_MMPBSA.dat
PFOA,PFOA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep2,GB,60,80,100,TOTAL,-20.21,3.46,4.1,0.24,0.29,window_gb,output\md\csnk1d_p48730_5okt\mmpbsa_gb_windows\mmpbsa_PFOA_CSNK1D_5OKT_rep2_gb_w60_80_dt100ps\FINAL_RESULTS_MMPBSA.dat
PFOA,PFOA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep2,GB,80,100,100,TOTAL,-20.87,3.92,3.52,0.28,0.25,window_gb,output\md\csnk1d_p48730_5okt\mmpbsa_gb_windows\mmpbsa_PFOA_CSNK1D_5OKT_rep2_gb_w80_100_dt100ps\FINAL_RESULTS_MMPBSA.dat
PFOA,PFOA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep3,GB,0,20,100,TOTAL,-21.64,6.0,4.26,0.42,0.3,window_gb,output\md\csnk1d_p48730_5okt\mmpbsa_gb_windows\mmpbsa_PFOA_CSNK1D_5OKT_rep3_gb_w00_20_dt100ps\FINAL_RESULTS_MMPBSA.dat
PFOA,PFOA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep3,GB,20,40,100,TOTAL,-18.65,25.49,8.41,1.8,0.59,window_gb,output\md\csnk1d_p48730_5okt\mmpbsa_gb_windows\mmpbsa_PFOA_CSNK1D_5OKT_rep3_gb_w20_40_dt100ps\FINAL_RESULTS_MMPBSA.dat
PFOA,PFOA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep3,GB,40,60,100,TOTAL,-20.29,9.09,6.46,0.64,0.46,window_gb,output\md\csnk1d_p48730_5okt\mmpbsa_gb_windows\mmpbsa_PFOA_CSNK1D_5OKT_rep3_gb_w40_60_dt100ps\FINAL_RESULTS_MMPBSA.dat
PFOA,PFOA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep3,GB,60,80,100,TOTAL,-16.71,18.98,7.67,1.34,0.54,window_gb,output\md\csnk1d_p48730_5okt\mmpbsa_gb_windows\mmpbsa_PFOA_CSNK1D_5OKT_rep3_gb_w60_80_dt100ps\FINAL_RESULTS_MMPBSA.dat
PFOA,PFOA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep3,GB,80,100,100,TOTAL,-21.08,4.81,4.64,0.34,0.33,window_gb,output\md\csnk1d_p48730_5okt\mmpbsa_gb_windows\mmpbsa_PFOA_CSNK1D_5OKT_rep3_gb_w80_100_dt100ps\FINAL_RESULTS_MMPBSA.dat
BPA,BPA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep1,PB,0,20,100,TOTAL,1.79,1.52,5.74,0.11,0.4,window_pb,output\md\csnk1d_p48730_5okt\mmpbsa_pb_windows\mmpbsa_BPA_CSNK1D_5OKT_rep1_pb_w00_20_dt100ps\FINAL_RESULTS_MMPBSA.dat
BPA,BPA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep1,PB,20,40,100,TOTAL,-4.9,1.08,3.69,0.08,0.26,window_pb,output\md\csnk1d_p48730_5okt\mmpbsa_pb_windows\mmpbsa_BPA_CSNK1D_5OKT_rep1_pb_w20_40_dt100ps\FINAL_RESULTS_MMPBSA.dat
BPA,BPA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep1,PB,40,60,100,TOTAL,-4.91,1.24,4.02,0.09,0.28,window_pb,output\md\csnk1d_p48730_5okt\mmpbsa_pb_windows\mmpbsa_BPA_CSNK1D_5OKT_rep1_pb_w40_60_dt100ps\FINAL_RESULTS_MMPBSA.dat
BPA,BPA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep1,PB,60,80,100,TOTAL,-2.0,1.17,3.66,0.08,0.26,window_pb,output\md\csnk1d_p48730_5okt\mmpbsa_pb_windows\mmpbsa_BPA_CSNK1D_5OKT_rep1_pb_w60_80_dt100ps\FINAL_RESULTS_MMPBSA.dat
BPA,BPA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep1,PB,80,100,100,TOTAL,-0.71,13.68,3.2,0.96,0.23,window_pb,output\md\csnk1d_p48730_5okt\mmpbsa_pb_windows\mmpbsa_BPA_CSNK1D_5OKT_rep1_pb_w80_100_dt100ps\FINAL_RESULTS_MMPBSA.dat
